codigo,año,oficial,calculado,diferencia,error_pct
8,2010,6.16,4.274630956,-1.885369044,30.606640324675322
8,2014,8.8,6.223704079,-2.5762959210000007,29.276090011363642
8,2019,9.13,6.195980211,-2.9340197890000006,32.13603273822564
8,2021,9.94,6.839310335691926,-3.1006896643080735,31.19406100913555
8,2023,9.45,5.192019171948692,-4.257980828051307,45.05799818043712
11,2010,6.74,4.811256892333334,-1.9287431076666666,28.61636658259149
11,2014,8.44,6.194785872333333,-2.2452141276666664,26.602063124012638
11,2019,7.95,5.5359814620000005,-2.4140185379999997,30.365013056603768
11,2021,9.76,6.806090226779098,-2.953909773220902,30.265468987919075
11,2023,8.41,4.675181035822992,-3.734818964177008,44.409262356444806
20,2010,8.2,6.165307333666666,-2.034692666333333,24.81332519918699
20,2014,10.6,8.181386008333332,-2.4186139916666676,22.817113128930828
20,2019,10.47,7.637250888666667,-2.8327491113333334,27.055865437758676
20,2021,12.72,9.215967825,-3.5040321750000007,27.547422759433964
20,2023,11.42,5.900363416642126,-5.519636583357874,48.33306990681151
21a,2010,7.62,5.628681397333334,-1.9913186026666665,26.132790061242346
21a,2014,10.96,8.210304215,-2.749695785,25.08846519160584
21a,2019,11.64,8.297249637666667,-3.3427503623333337,28.717786617983965
21a,2021,12.9,9.249187933912829,-3.6508120660871715,28.30086872935792
21a,2023,12.45,6.417201552767826,-6.032798447232174,48.456212427567664
92a,2010,82.0,77.2168697131943,-4.783130286805701,5.833085715616709
92a,2014,80.0,75.17444063283514,-4.825559367164857,6.031949208956071
92a,2019,76.0,71.99564918594693,-4.004350814053069,5.268882650069828
92a,2021,77.0,73.50584671059055,-3.4941532894094536,4.537861414817472
92a,2023,74.0,78.74078002781692,4.740780027816925,6.406459497049899
60a,2010,798.0,506.055517081237,-291.944482918763,36.584521669017924
60a,2014,791.0,509.3062160308056,-281.6937839691944,35.61236206943039
60a,2019,775.0,509.67014242948136,-265.32985757051864,34.23611065426047
60a,2021,773.0,511.4092540887397,-261.5907459112603,33.84097618515657
60a,2023,773.0,503.22885430128315,-269.77114569871685,34.89924265183918
62a,2010,645.0,379.0166506644796,-265.9833493355204,41.23772857915045
62a,2014,635.0,380.7047674236416,-254.2952325763584,40.04649331911156
62a,2019,607.0,375.42556486628587,-231.57443513371413,38.1506482922099
62a,2021,596.0,374.09845208182065,-221.90154791817935,37.2318033419764
62a,2023,587.0,400.8189134482788,-186.1810865517212,31.717391235386916
93,2010,3545.0,2997.6484636520504,-547.3515363479496,15.44009975593652
93,2014,3403.0,2611.2659205660716,-791.7340794339284,23.2657678352609
93,2019,3398.0,2608.867594275526,-789.1324057244742,23.223437484534262
93,2021,3386.0,2604.219037467361,-781.780962532639,23.088628544968664
93,2023,3351.0,3391.7392187047094,40.7392187047094,1.2157331753121277
97,2010,110.0,109.1970344305228,-0.8029655694771947,0.7299686995247224
97,2014,109.0,106.43908137624884,-2.5609186237511636,2.3494666272946456
97,2019,115.0,111.78095566508553,-3.2190443349144715,2.799168986882149
97,2021,105.0,106.89746745036545,1.897467450365454,1.8071118574909086
97,2023,108.0,117.6215705329687,9.621570532968704,8.908861604600652
